ds,p,perc_total_perf,q,cluster_imbalance_ratio,data_ratio,noise_ratio,acc,bacc,kappa,log_loss,clf
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.9068,0.8087,0.811,0.2575,no_correction
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.9099,0.8143,0.8172,0.2592,untrusted_only
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.9034,0.803,0.8044,0.2612,kpdr
eeg,0.0318,0.5,1.0,1,1.0,0.0,0.7454,0.4774,0.4813,0.8503,pdr
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.8879,0.7641,0.7712,0.2805,irbl
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.889,0.7677,0.7738,0.2784,irbl2
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.9032,0.801,0.8037,0.2612,no_correction
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.9025,0.7989,0.8022,0.2611,untrusted_only
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.907,0.8096,0.8116,0.2593,kpdr
eeg,0.0318,0.5,1.0,2,0.9128,0.0,0.9094,0.8138,0.8164,0.2576,pdr
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.8823,0.7533,0.76,0.2917,irbl
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.885,0.7583,0.7653,0.2886,irbl2
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.9001,0.794,0.7972,0.2741,no_correction
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.897,0.7861,0.7906,0.2768,untrusted_only
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.8939,0.7834,0.785,0.2755,kpdr
eeg,0.0318,0.5,1.0,5,0.8604,0.0,0.818,0.6119,0.6245,0.4335,pdr
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8787,0.7468,0.7529,0.3042,irbl
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8792,0.7488,0.7541,0.2979,irbl2
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8798,0.7533,0.7562,0.293,no_correction
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.8825,0.7574,0.7613,0.2994,untrusted_only
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.883,0.7612,0.7629,0.2906,kpdr
eeg,0.0318,0.5,1.0,10,0.843,0.0,0.7802,0.5487,0.5526,0.6076,pdr
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8709,0.7327,0.7375,0.3104,irbl
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8714,0.7331,0.7382,0.3093,irbl2
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8803,0.7533,0.7569,0.3014,no_correction
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8712,0.7338,0.7381,0.319,untrusted_only
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.8781,0.7522,0.7532,0.3038,kpdr
eeg,0.0318,0.5,1.0,20,0.8344,0.0,0.7728,0.5274,0.5346,0.7245,pdr
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8634,0.7158,0.7216,0.3196,irbl
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8625,0.7111,0.719,0.3273,irbl2
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8689,0.7294,0.7336,0.3169,no_correction
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8471,0.6805,0.6877,0.3616,untrusted_only
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.8696,0.7297,0.7347,0.3175,kpdr
eeg,0.0318,0.5,1.0,50,0.829,0.0,0.7623,0.5075,0.5138,0.7506,pdr
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.858,0.7059,0.711,0.3281,irbl
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8596,0.7075,0.7137,0.3242,irbl2
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.7354,0.4649,0.4651,0.585,trusted_only
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8627,0.7181,0.7213,0.3267,no_correction
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8411,0.6686,0.6755,0.3924,untrusted_only
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.8705,0.7341,0.7372,0.3201,kpdr
eeg,0.0318,0.5,1.0,100,0.8274,0.0,0.7699,0.5258,0.5306,0.7307,pdr
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9796,0.9538,0.9565,0.0777,irbl
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9793,0.9535,0.9558,0.0776,irbl2
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9805,0.9567,0.9586,0.0727,no_correction
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9797,0.9546,0.9568,0.0712,untrusted_only
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9793,0.9532,0.9558,0.0743,kpdr
ibn-sina,0.0022,0.25,1.0,1,1.0,0.0,0.9743,0.9435,0.9452,0.0865,pdr
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9784,0.9515,0.9541,0.0775,irbl
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9775,0.9495,0.952,0.0786,irbl2
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.6215,0.0,0.0,0.6635,trusted_only
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9775,0.9503,0.952,0.0736,no_correction
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9805,0.9557,0.9585,0.0732,untrusted_only
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9802,0.9549,0.9578,0.0746,kpdr
ibn-sina,0.0022,0.25,1.0,2,0.9289,0.0,0.9714,0.937,0.939,0.1048,pdr
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.9762,0.9461,0.9492,0.0832,irbl
ibn-sina,0.0022,0.25,1.0,5,0.8862,0.0,0.9757,0.9456,0.9482,0.0818,irbl2
