name,n_features,n_continous_features,n_categorical_features,n_samples,n_classes,minority_class_ratio,normalized_entropy,n_clusters,total_acc,total_bacc,total_kappa,total_log_loss,fit_time
eeg,14,14,0,14980,2,0.8142182390698801,0.9924223733876091,"[4, 4]",0.9067645749888741,0.8087465665781111,0.811024072480585,0.2574763566099742,1.1100266000012198
ibn-sina,92,92,0,20722,2,0.6088509316770186,0.9569316244098871,"[12, 8]",0.980537236609297,0.9567196055605858,0.958551577199056,0.07268508570150177,4.14276207399962
zebra,154,154,0,61488,2,0.047959914101646385,0.26812712351786033,"[4, 8]",0.967691223505177,0.3175274006773403,0.4618332481781874,0.1011345821293842,1.8310482839988254
musk,167,166,1,6598,2,0.18222540763304068,0.6200985590130879,"[4, 4]",0.9964646464646465,0.9931392219231712,0.9865253742951585,0.009459555630712607,1.043122207000124
phishing,30,0,30,11055,2,0.7955172973850901,0.9906239227414301,"[12, 4]",0.969550798914682,0.9368466607000137,0.938214542525879,0.07762666310402068,0.7850879679990612
spam,57,57,0,4601,2,0.650286944045911,0.9673602371807668,"[12, 4]",0.9551049963794352,0.9079081453369877,0.9061588270236975,0.12450382990440867,0.6643339659985941
ijcnn1,22,22,0,191681,2,0.10630082591205278,0.4564666220671251,"[12, 12]",0.9892878880097383,0.9150349856105464,0.9368572503998039,0.0346353365425913,1.32526726299875
diabetes,8,8,0,768,2,0.536,0.9331343166407832,"[8, 8]",0.7359307359307359,0.3832098765432099,0.3978977054223818,0.6515017004537382,0.26469613800145453
credit-g,20,7,13,1000,2,0.42857142857142855,0.8812908992306927,"[4, 8]",0.7433333333333333,0.31587301587301586,0.34075342465753433,0.6180163245692312,0.3779355759979808
hiva,1617,1617,0,42678,2,0.03650273224043716,0.21991608303409008,"[8, 4]",0.97125898156826,0.2951253077656657,0.4110364664827897,0.10579107776612938,6.373156777000986
svmguide3,22,22,0,1243,2,0.3125659978880676,0.7919226332852046,"[4, 8]",0.8230563002680965,0.4127235322044627,0.4587309265203817,0.5286712996606927,0.7494074160022137
